MEyellow,MEbrown,MEblue,MEturquoise,MEgrey
X5,X2,X1,X4,X3
-0.07172695,0.003365696,0.046147388,0.019355947,-0.028508264
-0.001074203,0.007218815,0.019130479,0.041381733,-0.04372274
-0.010603026,-0.014247347,-0.039063408,-0.018265155,-0.01787516
0.003758809,0.005278777,0.073719649,0.053088559,-0.07185893
0.100744656,-0.05023416,-0.040847627,-0.032601588,-0.012904586
0.071641798,-0.010670674,-0.106345584,-0.065190698,0.068943697
-0.002578789,-0.010187758,0.039929882,0.027238483,-0.032794977
0.105376132,0.03189308,-0.032102233,0.005449438,0.0617259
0.092229983,-0.035607354,-0.023041559,-0.027330774,-0.00274634
0.120815526,0.115107969,-0.014492931,0.057814665,0.101663216
-0.136904726,-0.041863055,-0.029003012,0.004602999,-0.070672803
-0.075894512,-1.59E-05,0.205399345,0.075300683,-0.115394917
0.141345213,-0.010113763,0.0464219,0.021196182,-0.006330749
0.029335192,0.001423192,0.02558805,0.014111791,-0.027192695
-0.039576276,0.069621031,0.000286723,0.028595933,0.024747236
-0.022316495,-0.006132467,0.029400569,0.004744455,-0.021918693
-0.051522191,-0.085985741,-0.004130245,-0.039553114,-0.043742422
-0.074951611,0.057230319,0.012649551,0.082259818,-0.012483899
0.052099909,-0.106348358,0.01237284,-0.085815605,-0.037368377
-0.066561094,-0.035514705,-0.08622117,-0.052781021,0.013961859
-0.043341849,-0.06031132,-0.025900347,-0.022625697,-0.045303429
-0.133733119,-0.124683124,-0.097035696,-0.064155414,-0.084107726
0.034440225,0.060026065,0.039085859,0.071438508,0.003811112
-0.046160224,0.105165972,0.123843055,0.135372018,-0.038897433
0.052565673,0.002867149,0.052591791,0.030482811,-0.028234607
-0.112223426,0.005676997,-0.02797286,0.014761368,-0.018992297
-0.053827883,0.078059165,0.071335996,0.082615598,-0.015588544
-0.147438033,-0.127042394,-0.06290408,-0.0808349,-0.102699817
-0.132028303,-0.079680012,0.007026475,-0.017865689,-0.107710197
-0.129805475,0.007161103,0.200613264,0.113631951,-0.169823562
-0.00672037,-0.103329625,0.034060889,-0.046574874,-0.08660675
-0.101659979,0.014435913,-0.021927481,0.048419296,-0.036631841
-0.127523558,-0.086124681,-0.092739007,-0.088451731,-0.034963909
0.038278282,0.117863166,0.04530059,0.077706003,0.089055887
-0.02897861,0.05009226,0.035888787,0.070012106,-0.011565266
-0.063350459,-0.021565953,-0.080852746,-0.033089886,0.020280606
-0.009165618,0.029344847,-0.048458197,0.01210635,0.016142873
0.043343342,0.089817811,0.04869889,0.095816301,0.005045251
0.09869434,-0.064199754,-0.032063415,-0.060979348,-0.005607726
-0.071524723,-0.023633722,-0.050621494,0.007788818,-0.029100751
-0.041743431,0.020595944,0.019013148,0.033186245,0.003817827
0.005571886,0.093369579,0.066214893,0.087301996,0.01770599
-0.10581311,-0.007660654,0.003714917,0.025172042,-0.057063234
0.130869978,0.034756733,-0.084059026,-0.059917086,0.105264662
0.066193158,0.173347149,0.017336326,0.13492266,0.079541395
-0.022356024,0.021407836,0.040493948,0.048430369,-0.032214827
-0.011744988,0.009471764,0.0798506,0.013244298,-0.013050248
0.021532615,0.060228916,-0.107852219,-0.013463494,0.116385629
0.001608131,0.023456395,-0.025002526,0.001805778,0.058152466
-0.097115989,-0.098482414,0.051782854,-0.030828102,-0.109545099
0.063443233,-0.006789013,-0.012956646,0.000389725,-0.005790751
-0.116603093,-0.028143734,-0.086586019,-0.042707192,-0.001860493
0.013425013,0.039081956,-0.044782492,0.017351693,0.051501103
-0.006299815,-0.055845048,-0.029870462,-0.077425254,0.018307868
0.080373201,0.109733827,-0.043084498,0.048743512,0.115269716
0.091467083,-0.102496996,-0.078868039,-0.103051742,0.012147101
-0.089589474,-0.048519854,0.025156577,-0.004015533,-0.080322504
-0.022434129,-0.00538436,-0.113683079,-0.057801064,0.069875754
-0.008124615,-0.116019605,0.015543027,-0.034835256,-0.102023923
0.088172644,-0.0377935,0.016440256,-0.031389785,-0.012639814
-0.03851812,-0.10099844,-0.102143366,-0.105182514,0.011041876
-0.040907702,-0.090092245,0.006453398,-0.046207593,-0.068047257
0.205213931,0.044060141,-0.129753162,-0.091090831,0.198691047
0.147074164,-0.109762308,-0.162643952,-0.166195686,0.08621267
0.09868605,-0.009829003,-0.139505365,-0.117058818,0.166285432
0.171888436,0.044142671,-0.090761096,-0.044741237,0.131442764
0.145092145,0.147746004,-0.014625852,0.056689943,0.124434111
0.10772588,-0.001985011,-0.063845461,-0.031875098,0.042103843
-0.110198964,-0.055858712,0.077327268,0.020179572,-0.119244764
0.180427809,0.141460972,0.049864884,0.118774108,0.064575521
-0.069060953,-0.116695536,0.045301176,-0.063098483,-0.098443387
-0.00815418,-0.02954091,0.02311582,0.009005152,-0.059012114
-0.029560931,0.007162183,0.102551303,0.05189089,-0.087258142
0.080505231,0.066696903,0.041142713,0.060345707,0.018250394
0.00445865,0.106302618,0.094416991,0.097721156,0.009152864
0.014431942,-0.098303798,0.121770823,-0.037236846,-0.099919029
0.14112499,0.047923847,-0.007058912,0.02797975,0.053865526
-0.113240736,-0.114549932,-0.001295767,-0.077194825,-0.081262485
-0.003069116,0.041802921,0.10871035,0.060279934,-0.037743825
-0.024273826,-0.127528905,0.016303868,-0.05910055,-0.088857621
-0.067574232,-0.056035658,0.112950871,0.02421964,-0.108707416
-0.083140591,-0.103500676,-0.112537771,-0.085683429,-0.016176724
-0.027147831,-0.061400869,-0.006649178,-0.043203504,-0.011245655
0.03617911,-0.017659112,-0.067806154,-0.111955378,0.098826417
0.009792476,-0.068568559,-0.03152755,-0.042411242,-0.025344725
-0.004167827,0.067311078,-0.009013457,0.060381505,0.051521755
0.105428368,0.111457268,0.019745062,0.061516478,0.077513028
-0.032937824,-0.047919183,-0.046644294,-0.040273545,-0.017874401
0.031339171,0.019965897,0.090744109,0.033512358,-0.025812005
0.076137252,0.16368891,0.052067614,0.104607734,0.093542875
0.00847814,0.051232123,-0.090195375,-0.009526946,0.086903232
0.029768813,0.029714292,-0.046243078,0.009698548,0.024367626
-0.108382141,-0.033580062,0.093488473,0.042874468,-0.108479434
0.126083042,0.018447247,-0.099273106,-0.069233133,0.122569182
-0.086009852,-0.015544831,-0.094964861,-0.062627654,0.039131859
0.035932754,-0.021605338,0.029150136,0.011107325,-0.04464929
-0.158321267,-0.128515989,-0.128792804,-0.113215075,-0.027813113
-0.042096221,0.007031891,0.031658093,0.023266678,-0.026591869
-0.016922764,-0.051703792,0.018567541,0.005362329,-0.047725254
-0.118184155,-0.143716629,0.064044937,-0.075076132,-0.113520799
0.018243972,-0.060499431,0.030222508,-0.016448534,-0.061537668
0.080335141,-0.05260377,0.10617086,0.034724866,-0.090289722
0.061465424,0.27596305,0.177521722,0.315070875,0.013908228
0.038282413,0.216911546,0.147287354,0.194333386,0.053762125
-0.120349916,-0.043114608,0.060818607,0.012371854,-0.087855643
0.108086208,0.113533908,-0.05177987,0.025361793,0.134551857
0.010217935,0.132007451,0.062409353,0.134090136,0.02219026
0.086878119,0.132220554,0.056430006,0.118787295,0.066333499
-0.030589418,0.247907836,0.255434241,0.315364007,-0.076731392
0.042885236,0.065928935,0.136387109,0.102170404,-0.055739072
-0.053434162,0.112611175,0.016009902,0.110741679,0.013809795
0.052482103,-0.136512538,-0.121038729,-0.139354836,0.017800324
0.073318287,0.001967772,-0.221488314,-0.166802834,0.223536621
0.12455064,0.074548056,0.111536977,0.062374531,0.018327303
-0.057905034,-0.06141605,-0.052408817,-0.098210036,0.035388051
-0.161723549,-0.082013203,-0.068510963,-0.02668762,-0.067539175
0.185611243,0.163214769,-0.223712802,-0.216875296,0.414771072
-0.120910038,-0.042006566,-0.083578128,-0.02753445,-0.018315667
-0.067099006,0.1051306,0.133084352,0.158269349,-0.082401061
-0.051874437,-0.10449011,-0.017818527,-0.053605211,-0.076334248
0.006276401,0.109139074,-0.119974122,-0.074026857,0.188441314
-0.045079688,-0.169210079,0.043565115,-0.065192131,-0.168624401
-0.06841364,-0.008779512,0.010348467,-0.029816688,-0.014309771
-0.062267715,0.005728333,0.05310984,0.031327117,-0.052015721
-0.051949793,0.061817573,0.207085158,0.150936407,-0.111991305
-0.064417192,-0.034583733,0.02500243,0.010972915,-0.055940836
-0.081940356,0.019518031,0.093110195,0.082430818,-0.080050981
-0.036852847,-0.013722964,-0.004863584,-0.026953732,0.031899889
0.024818959,-0.10539018,-0.057743385,-0.096817067,-0.017728218
0.039175674,-0.074855892,-0.123599912,-0.12073389,0.062128178
0.074465879,-0.014230131,0.006748017,-0.023285705,0.030501917
0.089617062,0.075985501,-0.084494454,-0.035669315,0.136582952
0.218284784,0.075135345,-0.116386404,-0.07581538,0.206848842
-0.125632392,-0.140428932,0.028816171,-0.0651752,-0.113101239
0.015796014,-0.046950165,-0.096131353,-0.08835633,0.033448785
-0.016863803,-0.073245984,-0.006763917,-0.065057722,-0.019286165
0.159988615,-0.059826292,-0.156122144,-0.200747303,0.156822997
-0.082045985,0.105626686,0.15976628,0.181115515,-0.073949086
-0.049640108,-0.11473994,-0.031114531,-0.1287917,-0.0015022
